Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Moussa Diaby,Bayer 04 Leverkusen,Bundesliga,2022,23,Forward,WAM,5,441,0,,1.193,0.244,1.193,0.244,0.945,,0.041,,1,0.204,1.739,0.355,1.738,0.355,2.495,0.509,1.018,0.208,0.544,0.111,0.475,0.097
Leroy Sané,FC Bayern München,Bundesliga,2022,26,Forward,WAM,5,335,2,0.537,2.668,0.717,2.668,0.717,4.273,,2.072,,1,0.269,1.457,0.391,1.457,0.391,2.285,0.614,0.527,0.142,0.357,0.096,0.17,0.046
Christopher Nkunku,RB Leipzig,Bundesliga,2022,24,Forward,CM,5,450,4,0.8,3.902,0.78,3.12,0.624,4.447,,1.277,,0,,0.376,0.075,0.237,0.047,2.14,0.428,0.333,0.067,0.183,0.037,0.15,0.03
Marcus Thuram,Borussia Mönchengladbach,Bundesliga,2022,25,Forward,WAM,5,450,3,0.6,3.73,0.746,3.73,0.746,3.466,,0.675,,1,0.2,0.119,0.024,0.119,0.024,2.031,0.406,0.593,0.119,0.03,0.006,0.563,0.113
Sadio Mané,FC Bayern München,Bundesliga,2022,30,Forward,WAM,5,400,3,0.675,3.961,0.891,3.18,0.715,4.42,,1.772,,0,,0.409,0.092,0.409,0.092,2.021,0.455,0.392,0.088,0.105,0.024,0.287,0.065
Silas Mvumpa,VfB Stuttgart,Bundesliga,2022,23,Forward,WAM,5,419,1,0.215,2.302,0.494,2.302,0.494,2.421,,0.524,,1,0.215,0.561,0.121,0.561,0.12,1.989,0.427,0.947,0.203,0.522,0.112,0.426,0.091
Florian Kainz,1. FC Köln,Bundesliga,2022,29,Midfielder,WAM,5,371,2,0.485,1.666,0.404,0.884,0.214,2.154,,0.694,,3,0.728,1.982,0.481,1.266,0.307,1.951,0.473,0.891,0.216,0.806,0.196,0.085,0.021
Thomas Müller,FC Bayern München,Bundesliga,2022,32,Forward,WAM,5,340,1,0.265,1.776,0.47,1.776,0.47,1.379,,0.493,,2,0.529,1.613,0.427,1.61,0.426,1.902,0.504,0.434,0.115,0.3,0.079,0.134,0.036
Vincenzo Grifo,Sport-Club Freiburg,Bundesliga,2022,29,Midfielder,WAM,5,400,3,0.675,2.55,0.574,1.768,0.398,2.583,,0.3,,1,0.225,1.19,0.268,0.567,0.128,1.881,0.423,0.513,0.115,0.424,0.095,0.089,0.02
Dani Olmo,RB Leipzig,Bundesliga,2022,24,Midfielder,CAM,5,351,0,,0.585,0.15,0.585,0.15,0.073,,-0.024,,2,0.513,1.65,0.423,1.478,0.379,1.846,0.473,0.55,0.141,0.477,0.122,0.073,0.019
Ritsu Doan,Sport-Club Freiburg,Bundesliga,2022,24,Forward,WAM,5,345,2,0.522,1.658,0.433,1.658,0.433,2.504,,1.027,,0,,0.326,0.085,0.326,0.085,1.777,0.464,0.394,0.103,0.202,0.053,0.192,0.05
Alassane Plea,Borussia Mönchengladbach,Bundesliga,2022,29,Forward,FW,5,373,1,0.241,1.595,0.385,0.813,0.196,1.89,,0.496,,2,0.483,1.366,0.33,1.366,0.33,1.744,0.421,1.355,0.327,1.082,0.261,0.274,0.066
Sheraldo Becker,1. FC Union Berlin,Bundesliga,2022,27,Forward,WAM,5,360,5,1.25,1.547,0.387,1.547,0.387,2.512,,1.074,,2,0.5,0.522,0.131,0.522,0.131,1.653,0.413,0.469,0.117,0.302,0.076,0.167,0.042
Mario Götze,Eintracht Frankfurt,Bundesliga,2022,30,Midfielder,CAM,5,422,1,0.213,0.748,0.16,0.748,0.16,0.605,,-0.128,,0,,1.044,0.223,1.017,0.217,1.614,0.344,0.341,0.073,0.265,0.057,0.076,0.016
Sargis Adamyan,1. FC Köln,Bundesliga,2022,29,Forward,FW,5,171,1,0.526,1.654,0.871,1.654,0.871,1.269,,0.619,,0,,0.22,0.116,0.219,0.116,1.454,0.765,0.219,0.115,0.094,0.049,0.125,0.066
Kingsley Coman,FC Bayern München,Bundesliga,2022,26,Forward,WAM,3,253,1,0.356,0.912,0.324,0.912,0.324,0.784,,0.296,,2,0.711,0.753,0.268,0.742,0.264,1.427,0.508,0.363,0.129,0.211,0.075,0.152,0.054
Jeremie Frimpong,Bayer 04 Leverkusen,Bundesliga,2022,21,Defender,FB,5,428,2,0.421,0.964,0.203,0.964,0.203,1.608,,0.563,,0,,0.797,0.168,0.791,0.166,1.392,0.293,0.814,0.171,0.468,0.098,0.346,0.073
Rodrigo Zalazar,FC Schalke 04,Bundesliga,2022,23,Midfielder,CM,5,291,1,0.309,1.706,0.528,1.706,0.528,1.151,,0.504,,0,,0.249,0.077,0.249,0.077,1.368,0.423,0.263,0.081,0.191,0.059,0.072,0.022
Niclas Füllkrug,SV Werder Bremen,Bundesliga,2022,29,Forward,FW,5,440,5,1.023,3.559,0.728,1.996,0.408,2.788,,0.567,,0,,0.307,0.063,0.307,0.063,1.361,0.278,0.4,0.082,0.24,0.049,0.16,0.033
Michael Gregoritsch,Sport-Club Freiburg,Bundesliga,2022,28,Forward,FW,5,384,3,0.703,2.827,0.663,2.827,0.663,4.096,,1.393,,1,0.234,0.317,0.074,0.317,0.074,1.346,0.316,0.377,0.088,0.313,0.073,0.064,0.015
Jude Bellingham,Borussia Dortmund,Bundesliga,2022,19,Midfielder,CM,5,450,0,,1.434,0.287,1.434,0.287,0.355,,0.093,,0,,0.553,0.111,0.552,0.11,1.305,0.261,0.631,0.126,0.272,0.054,0.358,0.072
Georginio Rutter,TSG Hoffenheim,Bundesliga,2022,20,Forward,FW,5,343,1,0.262,1.03,0.27,1.03,0.27,0.527,,0.385,,0,,0.639,0.168,0.639,0.168,1.292,0.339,0.792,0.208,0.246,0.065,0.546,0.143
Kerem Demirbay,Bayer 04 Leverkusen,Bundesliga,2022,29,Midfielder,CM,5,280,1,0.321,0.868,0.279,0.868,0.279,0.774,,0.002,,0,,0.938,0.301,0.502,0.161,1.241,0.399,0.24,0.077,0.194,0.062,0.046,0.015
Jamal Musiala,FC Bayern München,Bundesliga,2022,19,Forward,CAM,4,258,3,1.047,2.192,0.765,2.192,0.765,2.336,,0.658,,1,0.349,0.682,0.238,0.682,0.238,1.239,0.432,0.274,0.095,0.199,0.069,0.075,0.026
Dodi Lukébakio,Hertha BSC,Bundesliga,2022,24,Forward,WAM,5,427,2,0.422,1.282,0.27,1.282,0.27,1.647,,1.221,,1,0.211,0.608,0.128,0.608,0.128,1.202,0.253,0.576,0.121,0.218,0.046,0.358,0.075
Daichi Kamada,Eintracht Frankfurt,Bundesliga,2022,26,Midfielder,CAM,4,287,3,0.941,2.153,0.675,2.153,0.675,2.222,,0.934,,1,0.314,0.724,0.227,0.6,0.188,1.182,0.371,0.019,0.006,-0.063,-0.02,0.082,0.026
Marco Reus,Borussia Dortmund,Bundesliga,2022,33,Midfielder,WAM,5,449,2,0.401,1.57,0.315,1.57,0.315,1.566,,0.615,,2,0.401,0.26,0.052,0.259,0.052,1.081,0.217,0.221,0.044,0.108,0.022,0.113,0.023
Benjamin Pavard,FC Bayern München,Bundesliga,2022,26,Defender,CB,5,419,1,0.215,0.387,0.083,0.387,0.083,0.388,,0.296,,0,,1.001,0.215,0.991,0.213,1.043,0.224,0.749,0.161,0.717,0.154,0.031,0.007
Serge Gnabry,FC Bayern München,Bundesliga,2022,27,Forward,WAM,5,172,2,1.047,0.959,0.502,0.959,0.502,1.108,,0.437,,1,0.523,0.541,0.283,0.541,0.283,1.015,0.531,0.328,0.172,0.076,0.04,0.253,0.132
Maximilian Arnold,VfL Wolfsburg,Bundesliga,2022,28,Midfielder,CM,5,410,0,,0.149,0.033,0.149,0.033,0.024,,-0.006,,0,,1.381,0.303,0.942,0.207,0.991,0.217,0.496,0.109,0.43,0.094,0.066,0.015
Roland Sallai,Sport-Club Freiburg,Bundesliga,2022,25,Midfielder,CAM,5,322,0,,1.556,0.435,1.556,0.435,1.264,,0.197,,0,,0.179,0.05,0.179,0.05,0.973,0.272,0.098,0.027,0.035,0.01,0.062,0.017
Christoph Baumgartner,TSG Hoffenheim,Bundesliga,2022,23,Midfielder,CAM,5,343,2,0.525,1.123,0.295,1.123,0.295,1.67,,0.778,,0,,0.34,0.089,0.34,0.089,0.952,0.25,0.399,0.105,0.308,0.081,0.091,0.024
Ridle Baku,VfL Wolfsburg,Bundesliga,2022,24,Midfielder,CM,5,391,0,,0.464,0.107,0.464,0.107,0.282,,-0.042,,0,,0.734,0.169,0.654,0.15,0.892,0.205,0.734,0.169,0.6,0.138,0.135,0.031
Randal Kolo Muani,Eintracht Frankfurt,Bundesliga,2022,23,Forward,FW,5,375,2,0.48,1.222,0.293,1.222,0.293,1.74,,0.801,,4,0.96,0.929,0.223,0.929,0.223,0.846,0.203,0.676,0.162,0.385,0.092,0.291,0.07
Jamie Bynoe-Gittens,Borussia Dortmund,Bundesliga,2022,18,Forward,CM,4,161,1,0.559,1.202,0.672,1.202,0.672,0.221,,-0.15,,0,,0.22,0.123,0.22,0.123,0.836,0.468,0.385,0.215,0.19,0.106,0.195,0.109
Chris Führich,VfB Stuttgart,Bundesliga,2022,24,Midfielder,WAM,5,355,1,0.254,0.598,0.152,0.598,0.152,0.793,,0.398,,0,,0.535,0.136,0.439,0.111,0.833,0.211,0.379,0.096,0.314,0.08,0.065,0.016
Anton Stach,1. FSV Mainz 05,Bundesliga,2022,23,Midfielder,CM,5,364,0,,0.63,0.156,0.63,0.156,0.88,,0.395,,1,0.247,0.617,0.153,0.485,0.12,0.817,0.202,0.391,0.097,0.242,0.06,0.149,0.037
Takuma Asano,VfL Bochum 1848,Bundesliga,2022,27,Forward,FW,5,399,0,,0.374,0.084,0.374,0.084,0.341,,0.194,,0,,0.642,0.145,0.642,0.145,0.813,0.183,0.183,0.041,0.205,0.046,-0.022,-0.005
Jesper Lindstrøm,Eintracht Frankfurt,Bundesliga,2022,22,Midfielder,CAM,5,289,1,0.311,1.131,0.352,1.131,0.352,0.78,,0.252,,0,,0.19,0.059,0.088,0.027,0.804,0.251,0.379,0.118,0.068,0.021,0.312,0.097
Benno Schmitz,1. FC Köln,Bundesliga,2022,27,Defender,FB,4,298,0,,0.085,0.026,0.085,0.026,,,,,0,,0.808,0.244,0.799,0.241,0.794,0.24,0.197,0.059,0.127,0.038,0.07,0.021
Jonas Hector,1. FC Köln,Bundesliga,2022,32,Midfielder,DMC,5,450,0,,0.235,0.047,0.235,0.047,,,,,1,0.2,1.551,0.31,1.33,0.266,0.778,0.156,0.439,0.088,0.595,0.119,-0.156,-0.031
Benjamin Henrichs,RB Leipzig,Bundesliga,2022,25,Defender,FB,5,402,0,,0.112,0.025,0.112,0.025,,,,,1,0.224,0.757,0.169,0.754,0.169,0.766,0.172,0.396,0.089,0.385,0.086,0.011,0.002
Silvan Widmer,1. FSV Mainz 05,Bundesliga,2022,29,Defender,FB,4,345,0,,1.047,0.273,1.047,0.273,0.512,,0.084,,0,,0.185,0.048,0.179,0.047,0.758,0.198,0.393,0.103,0.31,0.081,0.083,0.022
Thorgan Hazard,Borussia Dortmund,Bundesliga,2022,29,Midfielder,WAM,5,209,0,,1.076,0.463,1.076,0.463,1.074,,0.087,,0,,0.236,0.102,0.234,0.101,0.739,0.318,0.338,0.146,0.191,0.082,0.147,0.063
Simon Zoller,VfL Bochum 1848,Bundesliga,2022,31,Forward,FW,5,412,2,0.437,2.367,0.517,2.367,0.517,2.805,,0.956,,0,,0.105,0.023,0.104,0.023,0.737,0.161,0.358,0.078,-0.025,-0.006,0.383,0.084
