Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Xavi Simons,PSV,Eredivise,2022,19,Midfielder,CM,5,429,6,1.259,4.13,0.867,4.13,0.867,5.23,,1.963,,2,0.42,0.665,0.14,0.658,0.138,3.789,0.795,0.509,0.107,0.008,0.002,0.501,0.105
Cody Gakpo,PSV,Eredivise,2022,23,Forward,WAM,5,319,6,1.693,3.891,1.098,3.11,0.877,4.548,,1.2,,3,0.846,1.257,0.355,0.86,0.243,3.146,0.888,0.92,0.26,0.494,0.139,0.425,0.12
Johan Bakayoko,PSV,Eredivise,2022,19,Forward,WAM,5,399,2,0.451,2.323,0.524,2.323,0.524,2.09,,0.488,,0,,1.598,0.36,1.597,0.36,3.052,0.688,0.533,0.12,0.049,0.011,0.484,0.109
Bas Dost,FC Utrecht,Eredivise,2022,33,Forward,FW,5,405,4,0.889,3.751,0.833,3.751,0.833,4.243,,1.676,,1,0.222,1.043,0.232,1.043,0.232,2.902,0.645,0.446,0.099,0.335,0.074,0.11,0.025
Dusan Tadic,Ajax,Eredivise,2022,33,Forward,CAM,5,434,0,,1.424,0.295,1.424,0.295,0.979,,0.345,,2,0.415,3.17,0.657,2.534,0.526,2.515,0.521,1.175,0.244,0.815,0.169,0.36,0.075
Jamie Jacobs,SC Cambuur,Eredivise,2022,24,Midfielder,CM,4,246,0,,2.314,0.847,2.314,0.847,1.846,,0.483,,0,,0.816,0.298,0.732,0.268,2.182,0.798,0.511,0.187,0.316,0.116,0.195,0.071
Daryl van Mieghem,FC Volendam,Eredivise,2022,32,Forward,WAM,5,390,2,0.462,1.437,0.332,1.437,0.332,1.053,,0.211,,2,0.462,1.065,0.246,0.91,0.21,1.881,0.434,0.349,0.08,0.526,0.121,-0.177,-0.041
Steven Bergwijn,Ajax,Eredivise,2022,24,Forward,WAM,5,400,6,1.35,2.681,0.603,2.681,0.603,3.407,,1.161,,0,,1.265,0.285,1.263,0.284,1.868,0.42,0.892,0.201,0.085,0.019,0.806,0.181
Dani de Wit,AZ,Eredivise,2022,24,Midfielder,CM,5,440,2,0.409,1.65,0.337,1.65,0.337,2.241,,0.759,,0,,1.252,0.256,1.252,0.256,1.845,0.377,-0.009,-0.002,0.002,0,-0.011,-0.002
Patrik Wålemark,Feyenoord,Eredivise,2022,20,Forward,CM,5,319,1,0.282,0.702,0.198,0.702,0.198,1.093,,0.479,,2,0.564,1.339,0.378,1.235,0.349,1.748,0.493,0.816,0.23,0.463,0.131,0.353,0.1
