Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Robert Lewandowski,Barcelona,La Liga,2022,34,Forward,FW,4,344,5,1.308,5.41,1.415,5.41,1.415,7.168,,2.89,,0,,0.414,0.108,0.414,0.108,3.694,0.967,0.193,0.051,0.092,0.024,0.101,0.026
Karim Benzema,Real Madrid,La Liga,2022,34,Forward,FW,4,360,3,0.75,4.851,1.213,4.069,1.017,3.68,,0.828,,1,0.25,0.74,0.185,0.716,0.179,2.522,0.63,0.525,0.131,0.217,0.054,0.308,0.077
Vinícius Júnior,Real Madrid,La Liga,2022,22,Forward,WAM,4,346,3,0.78,2.617,0.681,2.617,0.681,2.628,,1.035,,1,0.26,0.924,0.24,0.923,0.24,2.398,0.624,1.11,0.289,0.271,0.07,0.839,0.218
Raphinha,Barcelona,La Liga,2022,25,Forward,WAM,4,237,1,0.38,1.217,0.462,1.217,0.462,0.824,,0.054,,1,0.38,1.79,0.68,1.765,0.67,2.216,0.842,0.778,0.295,0.456,0.173,0.322,0.122
Ousmane Dembélé,Barcelona,La Liga,2022,25,Forward,WAM,4,306,1,0.294,1.315,0.387,1.315,0.387,0.909,,0.717,,2,0.588,1.071,0.315,0.947,0.279,1.734,0.51,0.73,0.215,0.433,0.127,0.297,0.087
Alex Berenguer,Athletic Club,La Liga,2022,27,Forward,WAM,4,312,2,0.577,1.809,0.522,1.809,0.522,2.312,,1.028,,0,,0.925,0.267,0.726,0.209,1.278,0.369,0.283,0.082,0.077,0.022,0.206,0.059
Juanmi,Real Betis,La Liga,2022,29,Forward,WAM,4,315,2,0.571,1.363,0.39,1.363,0.39,1.819,,0.588,,0,,0.041,0.012,0.041,0.012,1.192,0.341,0.13,0.037,-0.018,-0.005,0.147,0.042
Gerard Moreno,Villarreal,La Liga,2022,30,Forward,FW,4,317,2,0.568,2.798,0.794,2.798,0.794,2.644,,1.2,,0,,0.162,0.046,0.162,0.046,1.168,0.332,0.511,0.145,0.335,0.095,0.175,0.05
Momo Cho,Real Sociedad,La Liga,2022,18,Forward,WAM,4,164,0,,0.869,0.477,0.869,0.477,1.098,,0.277,,1,0.549,0.558,0.306,0.558,0.306,1.145,0.628,0.232,0.127,0.155,0.085,0.077,0.043
Moi Gómez,Osasuna,La Liga,2022,28,Midfielder,CAM,4,351,0,,0.649,0.166,0.649,0.166,0.665,,0.134,,0,,1.016,0.26,0.545,0.14,1.125,0.288,0.463,0.119,0.351,0.09,0.111,0.029
Álvaro Morata,Atlético de Madrid,La Liga,2022,29,Forward,FW,4,315,3,0.857,2.294,0.655,2.294,0.655,3.021,,1.341,,0,,0.044,0.013,0.044,0.013,1.098,0.314,-0.251,-0.072,0.025,0.007,-0.276,-0.079
Erik Lamela,Sevilla,La Liga,2022,30,Midfielder,WAM,4,272,0,,1.121,0.371,1.121,0.371,1.181,,0.273,,0,,0.356,0.118,0.356,0.118,1.075,0.356,0.262,0.087,0.143,0.047,0.119,0.039
Umar Sadiq,Real Sociedad,La Liga,2022,25,Forward,FW,4,287,3,0.941,1.692,0.531,1.692,0.531,2.323,,0.956,,0,,0.087,0.027,0.087,0.027,1.056,0.331,0.316,0.099,-0.049,-0.015,0.366,0.115
João Félix,Atlético de Madrid,La Liga,2022,22,Forward,WAM,4,326,0,,1.184,0.327,1.184,0.327,0.84,,0.395,,3,0.828,0.568,0.157,0.568,0.157,1.011,0.279,0.225,0.062,0.133,0.037,0.092,0.025
Chimy Avila,Osasuna,La Liga,2022,28,Forward,WAM,4,281,2,0.641,1.66,0.532,0.878,0.281,1.616,,0.581,,0,,0.588,0.188,0.588,0.188,0.95,0.304,0.195,0.062,0.164,0.053,0.03,0.01
Rafa Mir,Sevilla,La Liga,2022,25,Forward,FW,3,216,1,0.417,1.619,0.674,1.619,0.674,1.212,,0.481,,0,,0.243,0.101,0.243,0.101,0.909,0.379,0.737,0.307,0.109,0.045,0.628,0.262
Largie Ramazani,Almería,La Liga,2022,21,Forward,WAM,3,238,2,0.756,1.041,0.394,1.041,0.394,1.79,,0.776,,0,,0.084,0.032,0.083,0.031,0.906,0.342,0.228,0.086,0,0,0.228,0.086
Álvaro García,Rayo Vallecano,La Liga,2022,29,Midfielder,WAM,4,355,0,,0.345,0.088,0.345,0.088,0.413,,0.068,,1,0.254,1.012,0.257,0.996,0.252,0.885,0.224,0.496,0.126,0.364,0.092,0.132,0.034
Federico Valverde,Real Madrid,La Liga,2022,24,Midfielder,DMC,4,265,1,0.34,0.585,0.199,0.585,0.199,1.303,,0.781,,1,0.34,0.584,0.198,0.584,0.198,0.855,0.29,0.447,0.152,0.265,0.09,0.182,0.062
Frenkie de Jong,Barcelona,La Liga,2022,25,Midfielder,CM,4,170,0,,0.599,0.317,0.599,0.317,0.109,,-0.021,,0,,0.454,0.24,0.453,0.24,0.848,0.449,0.447,0.236,0.333,0.176,0.114,0.06
Nabil Fekir,Real Betis,La Liga,2022,29,Forward,CAM,4,254,0,,0.375,0.133,0.375,0.133,0.245,,0.187,,1,0.354,1.197,0.424,0.959,0.34,0.83,0.294,0.395,0.14,0.246,0.087,0.149,0.053
Antoine Griezmann,Atlético de Madrid,La Liga,2022,31,Forward,FW,4,109,2,1.651,0.849,0.701,0.849,0.701,1.952,,1.261,,0,,0.444,0.366,0.444,0.366,0.818,0.675,0.222,0.183,0.138,0.114,0.084,0.069
Pedri,Barcelona,La Liga,2022,19,Midfielder,WAM,4,315,1,0.286,0.441,0.126,0.441,0.126,0.851,,0.495,,0,,0.653,0.187,0.653,0.187,0.785,0.224,0.497,0.142,0.378,0.108,0.119,0.034
Matheus Cunha,Atlético de Madrid,La Liga,2022,23,Forward,FW,3,34,0,,0.711,1.882,0.711,1.882,0.419,,-0.055,,0,,0.239,0.632,0.239,0.632,0.78,2.064,0.122,0.322,0.041,0.108,0.081,0.214
Mikel Merino,Real Sociedad,La Liga,2022,26,Midfielder,CM,4,336,0,,1.628,0.436,0.847,0.227,0.99,,0.121,,1,0.268,0.49,0.131,0.49,0.131,0.76,0.203,0.49,0.131,0.332,0.089,0.158,0.042
David Silva,Real Sociedad,La Liga,2022,36,Midfielder,CM,4,296,0,,0.94,0.286,0.94,0.286,1.583,,0.643,,0,,0.416,0.126,0.416,0.126,0.753,0.229,0.342,0.104,0.335,0.102,0.007,0.002
Rodrygo,Real Madrid,La Liga,2022,21,Forward,WAM,2,112,1,0.804,0.552,0.443,0.552,0.443,0.494,,0.038,,1,0.804,0.679,0.546,0.679,0.546,0.725,0.583,0.235,0.189,0.196,0.157,0.039,0.032
