Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Gonçalo Ramos,Benfica,Primeira Liga,2022,21,Forward,CAM,5,371,2,0.485,4.553,1.104,4.553,1.104,2.583,,0.563,,1,0.243,0.619,0.15,0.619,0.15,2.278,0.553,0.596,0.145,0.231,0.056,0.365,0.088
João Mário,Benfica,Primeira Liga,2022,29,Midfielder,CAM,5,393,4,0.916,3.353,0.768,1.008,0.231,3.124,,0.298,,1,0.229,2.41,0.552,1.729,0.396,1.876,0.43,0.606,0.139,0.519,0.119,0.087,0.02
Pote,Sporting CP,Primeira Liga,2022,24,Midfielder,CM,5,449,3,0.601,3.338,0.669,3.338,0.669,3.825,,1.206,,2,0.401,1.449,0.291,1.106,0.222,1.708,0.342,0.551,0.11,0.38,0.076,0.17,0.034
Vítor Oliveira,Sporting Braga,Primeira Liga,2022,22,Forward,FW,5,387,2,0.465,2.713,0.631,2.713,0.631,2.134,,0.964,,0,,0.478,0.111,0.477,0.111,1.698,0.395,-0.014,-0.003,0.045,0.01,-0.058,-0.014
Simon Banza,Sporting Braga,Primeira Liga,2022,26,Forward,FW,5,397,5,1.134,2.197,0.498,2.197,0.498,2.476,,0.735,,1,0.227,0.348,0.079,0.348,0.079,1.686,0.382,0.078,0.018,0.04,0.009,0.038,0.009
Marcus Edwards,Sporting CP,Primeira Liga,2022,23,Forward,CAM,5,328,2,0.549,1.121,0.308,1.121,0.308,1.256,,0.298,,2,0.549,1.014,0.278,0.898,0.246,1.5,0.411,0.625,0.172,0.388,0.107,0.237,0.065
Ruben Lameiras,Vitória Guimarães,Primeira Liga,2022,27,Midfielder,WAM,5,450,0,,0.867,0.173,0.867,0.173,0.215,,0.093,,0,,1.255,0.251,1.002,0.2,1.499,0.3,0.59,0.118,0.34,0.068,0.25,0.05
Welinton Júnior,Portimonense,Primeira Liga,2022,29,Forward,WAM,4,359,2,0.501,2.555,0.641,2.555,0.641,2.322,,0.617,,0,,0.143,0.036,0.138,0.035,1.448,0.363,0.185,0.046,0.11,0.028,0.075,0.019
Trincão,Sporting CP,Primeira Liga,2022,22,Forward,WAM,5,435,0,,0.812,0.168,0.812,0.168,0.139,,0.028,,1,0.207,1.487,0.308,1.348,0.279,1.437,0.297,0.735,0.152,0.48,0.099,0.255,0.053
Juan Delgado,Paços de Ferreira,Primeira Liga,2022,29,Forward,WAM,4,360,0,,0.239,0.06,0.239,0.06,0.196,,0.037,,1,0.25,1.292,0.323,1.286,0.322,1.432,0.358,0.736,0.184,0.588,0.147,0.148,0.037
