Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Xavi Simons,PSV,Eredivise,2022,19,Midfielder,CM,6,519,6,1.04,4.368,0.757,4.368,0.757,5.308,,1.973,,2,0.347,0.772,0.134,0.765,0.133,3.982,0.69,0.539,0.093,-0.081,-0.014,0.62,0.107
Dusan Tadic,Ajax,Eredivise,2022,33,Forward,CAM,6,524,0,,1.661,0.285,1.661,0.285,0.979,,0.345,,5,0.859,4.461,0.766,3.512,0.603,3.615,0.621,1.632,0.28,1.295,0.222,0.337,0.058
Cody Gakpo,PSV,Eredivise,2022,23,Forward,WAM,6,409,7,1.54,5.113,1.125,3.549,0.781,5.627,,1.469,,3,0.66,2.296,0.505,1.106,0.243,3.528,0.776,1.15,0.253,0.697,0.153,0.453,0.1
Bas Dost,FC Utrecht,Eredivise,2022,33,Forward,FW,6,495,5,0.909,4.189,0.762,4.189,0.762,5.737,,2.731,,1,0.182,1.082,0.197,1.082,0.197,3.221,0.586,0.536,0.097,0.419,0.076,0.117,0.021
Johan Bakayoko,PSV,Eredivise,2022,19,Forward,WAM,5,399,2,0.451,2.32,0.523,2.32,0.523,2.09,,0.488,,0,,1.598,0.36,1.597,0.36,3.049,0.688,0.534,0.121,0.049,0.011,0.485,0.109
Bas Kuipers,Go Ahead Eagles,Eredivise,2022,28,Defender,FB,6,540,2,0.333,1.863,0.31,1.863,0.31,3.381,,1.859,,0,,0.96,0.16,0.867,0.144,2.396,0.399,0.643,0.107,0.45,0.075,0.193,0.032
Steven Bergwijn,Ajax,Eredivise,2022,24,Forward,WAM,6,461,6,1.171,2.76,0.539,2.76,0.539,3.407,,1.328,,0,,1.653,0.323,1.651,0.322,2.193,0.428,0.72,0.141,0.156,0.031,0.564,0.11
Jamie Jacobs,SC Cambuur,Eredivise,2022,24,Midfielder,CM,4,246,0,,2.314,0.847,2.314,0.847,1.846,,0.483,,0,,0.816,0.298,0.732,0.268,2.182,0.798,0.511,0.187,0.316,0.116,0.195,0.071
Daryl van Mieghem,FC Volendam,Eredivise,2022,32,Forward,WAM,6,460,2,0.391,1.439,0.281,1.439,0.281,1.053,,0.211,,2,0.391,1.087,0.213,0.921,0.18,1.89,0.37,0.416,0.081,0.561,0.11,-0.144,-0.028
Dani de Wit,AZ,Eredivise,2022,24,Midfielder,CM,6,519,2,0.347,1.65,0.286,1.65,0.286,2.241,,0.759,,0,,1.259,0.218,1.259,0.218,1.811,0.314,-0.013,-0.002,0.002,0,-0.016,-0.003
Patrik Wålemark,Feyenoord,Eredivise,2022,20,Forward,CM,5,319,1,0.282,0.702,0.198,0.702,0.198,1.093,,0.479,,2,0.564,1.352,0.381,1.249,0.352,1.761,0.497,0.816,0.23,0.463,0.131,0.353,0.1
Robert Mühren,FC Volendam,Eredivise,2022,33,Forward,FW,6,472,1,0.191,3.199,0.61,3.199,0.61,1.999,,0.462,,0,,0.375,0.072,0.375,0.072,1.734,0.331,0.284,0.054,0.151,0.029,0.133,0.025
Michiel Kramer,RKC Waalwijk,Eredivise,2022,33,Forward,FW,6,518,1,0.174,2.298,0.399,2.298,0.399,1.586,,0.491,,1,0.174,0.919,0.16,0.919,0.16,1.611,0.28,0.419,0.073,0.201,0.035,0.218,0.038
Othmane Boussaid,FC Utrecht,Eredivise,2022,22,Midfielder,WAM,6,488,0,,0.618,0.114,0.618,0.114,0.02,,-0.002,,0,,1.199,0.221,1.198,0.221,1.566,0.289,1.023,0.189,0.696,0.128,0.328,0.06
Steven Berghuis,Ajax,Eredivise,2022,30,Forward,WAM,6,328,2,0.549,1.843,0.506,1.061,0.291,1.843,,0.589,,1,0.274,1.068,0.293,0.939,0.258,1.527,0.419,0.786,0.216,0.75,0.206,0.036,0.01
Sydney van Hooijdonk,sc Heerenveen,Eredivise,2022,22,Forward,WAM,6,442,4,0.814,2.163,0.44,2.163,0.44,3.312,,1.577,,0,,0.365,0.074,0.365,0.074,1.526,0.311,0.093,0.019,0.018,0.004,0.075,0.015
Tijjani Reijnders,AZ,Eredivise,2022,24,Midfielder,CM,6,540,1,0.167,1.617,0.269,1.617,0.269,0.849,,0.511,,0,,1.275,0.213,0.87,0.145,1.512,0.252,0.903,0.15,0.406,0.068,0.497,0.083
Håkon Evjen,AZ,Eredivise,2022,22,Midfielder,CM,6,476,0,,0.956,0.181,0.956,0.181,0.338,,-0.092,,1,0.189,1.219,0.231,1.089,0.206,1.507,0.285,0.531,0.1,0.355,0.067,0.176,0.033
Kenneth Taylor,Ajax,Eredivise,2022,20,Midfielder,CM,6,451,3,0.599,1.285,0.256,1.285,0.256,1.542,,0.509,,1,0.2,1.265,0.252,1.259,0.251,1.479,0.295,0.863,0.172,0.561,0.112,0.303,0.06
Milos Kerkez,AZ,Eredivise,2022,18,Defender,CB,6,441,1,0.204,0.898,0.183,0.898,0.183,1.073,,0.414,,0,,0.915,0.187,0.909,0.185,1.46,0.298,0.18,0.037,0.093,0.019,0.086,0.018
Bartosz Bialek,Vitesse,Eredivise,2022,20,Forward,FW,2,180,0,,1.645,0.823,1.645,0.823,0.033,,-0.005,,0,,0.538,0.269,0.538,0.269,1.448,0.724,0.179,0.09,0.158,0.079,0.021,0.011
Myron van Brederode,AZ,Eredivise,2022,19,Forward,FW,6,424,1,0.212,0.774,0.164,0.774,0.164,0.798,,0.152,,0,,1.059,0.225,1.059,0.225,1.419,0.301,0.951,0.202,0.424,0.09,0.527,0.112
Javairô Dilrosun,Feyenoord,Eredivise,2022,24,Forward,WAM,6,501,3,0.539,1.254,0.225,1.254,0.225,1.933,,1.103,,1,0.18,1.143,0.205,1.142,0.205,1.4,0.252,0.545,0.098,0.325,0.058,0.22,0.04
Rui Mendes,FC Emmen,Eredivise,2022,22,Forward,FW,6,540,1,0.167,0.516,0.086,0.516,0.086,0.42,,-0.005,,1,0.167,1.441,0.24,1.441,0.24,1.356,0.226,0.911,0.152,0.694,0.116,0.217,0.036
Cyril Ngonge,FC Groningen,Eredivise,2022,22,Forward,WAM,5,376,2,0.479,0.793,0.19,0.793,0.19,1.164,,0.839,,1,0.239,1.036,0.248,1.035,0.248,1.342,0.321,0.569,0.136,0.34,0.081,0.229,0.055
Guus Til,PSV,Eredivise,2022,24,Midfielder,CM,5,251,1,0.359,2.122,0.761,2.122,0.761,2.353,,0.505,,0,,0.373,0.134,0.373,0.134,1.32,0.473,0.209,0.075,0.058,0.021,0.151,0.054
Oussama Tannane,N.E.C.,Eredivise,2022,28,Forward,WAM,5,449,1,0.2,0.824,0.165,0.824,0.165,1.031,,0.529,,2,0.401,1.678,0.336,0.686,0.138,1.298,0.26,0.782,0.157,0.667,0.134,0.115,0.023
Gijs Smal,FC Twente,Eredivise,2022,25,Defender,CB,6,520,0,,0.186,0.032,0.186,0.032,0.533,,0.449,,3,0.519,1.495,0.259,1.334,0.231,1.292,0.224,0.889,0.154,0.726,0.126,0.162,0.028
Mohammed Kudus,Ajax,Eredivise,2022,22,Midfielder,CAM,6,146,3,1.849,2.727,1.681,2.727,1.681,2.918,,0.331,,0,,0.348,0.215,0.347,0.214,1.272,0.784,0.033,0.02,-0.027,-0.017,0.06,0.037
Carel Eiting,FC Volendam,Eredivise,2022,24,Midfielder,DMC,6,516,1,0.174,0.294,0.051,0.294,0.051,0.564,,0.428,,1,0.174,1.199,0.209,1.198,0.209,1.261,0.22,0.731,0.128,0.632,0.11,0.099,0.017
Million Manhoef,Vitesse,Eredivise,2022,20,Defender,FB,6,386,1,0.233,1.159,0.27,1.159,0.27,1.601,,0.663,,1,0.233,1.035,0.241,1.009,0.235,1.247,0.291,0.452,0.105,0.172,0.04,0.28,0.065
Amin Sarr,sc Heerenveen,Eredivise,2022,21,Forward,FW,6,466,1,0.193,1.286,0.248,1.286,0.248,1.003,,0.331,,3,0.579,0.816,0.158,0.816,0.158,1.224,0.236,0.671,0.13,0.547,0.106,0.124,0.024
Vito van Crooij,Sparta Rotterdam,Eredivise,2022,26,Forward,WAM,6,473,3,0.571,1.579,0.3,1.579,0.3,1.223,,0.345,,0,,0.351,0.067,0.348,0.066,1.206,0.229,0.191,0.036,0.043,0.008,0.148,0.028
Daishawn Redan,FC Utrecht,Eredivise,2022,21,Forward,FW,5,356,0,,2.435,0.615,2.435,0.615,1.772,,0.472,,0,,0.262,0.066,0.262,0.066,1.168,0.295,0.6,0.152,0.092,0.023,0.508,0.128
