Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Lionel Messi,Paris Saint-Germain,Ligue 1,2022,35,Forward,FW,7,620,3,0.435,5.265,0.764,5.265,0.764,7.735,,4.509,,7,1.016,4.871,0.707,4.421,0.642,5.251,0.762,3.062,0.444,2.076,0.301,0.986,0.143
Neymar,Paris Saint-Germain,Ligue 1,2022,30,Forward,WAM,7,531,8,1.356,5.488,0.93,3.925,0.665,5.617,,2.017,,6,1.017,3.399,0.576,2.776,0.47,4.221,0.715,1.229,0.208,1.01,0.171,0.219,0.037
Karl Toko-Ekambi,Lyon,Ligue 1,2022,29,Forward,FW,7,585,4,0.615,2.457,0.378,2.457,0.378,2.964,,1.204,,1,0.154,2.271,0.349,2.27,0.349,3.093,0.476,0.917,0.141,0.188,0.029,0.728,0.112
Florian Sotoca,Lens,Ligue 1,2022,31,Forward,FW,7,610,5,0.738,3.899,0.575,3.118,0.46,3.13,,0.236,,2,0.295,1.767,0.261,1.767,0.261,2.751,0.406,0.696,0.103,0.554,0.082,0.143,0.021
Armand Laurienté,Lorient,Ligue 1,2022,23,Forward,WAM,3,267,1,0.337,2.186,0.737,2.186,0.737,0.641,,0.317,,0,,1.056,0.356,1.056,0.356,2.467,0.832,0.637,0.215,0.41,0.138,0.228,0.077
Thijs Dallinga,Toulouse,Ligue 1,2022,22,Forward,FW,7,502,2,0.359,3.521,0.631,3.521,0.631,3.424,,1.163,,0,,0.217,0.039,0.217,0.039,2.465,0.442,0.132,0.024,0.003,0,0.129,0.023
Martin Terrier,Rennes,Ligue 1,2022,25,Forward,CAM,7,610,3,0.443,2.939,0.434,2.939,0.434,4.786,,2.737,,1,0.148,1.034,0.153,1.034,0.153,2.452,0.362,0.782,0.115,0.203,0.03,0.578,0.085
Dango Ouattara,Lorient,Ligue 1,2022,20,Forward,FW,7,595,3,0.454,1.421,0.215,1.421,0.215,2.025,,1.247,,4,0.605,2.008,0.304,2.008,0.304,2.337,0.354,1.163,0.176,0.834,0.126,0.329,0.05
Kylian Mbappé,Paris Saint-Germain,Ligue 1,2022,23,Forward,WAM,6,497,7,1.268,5.792,1.049,5.011,0.907,5.79,,2.226,,0,,1.45,0.263,1.45,0.263,2.239,0.406,1.331,0.241,0.491,0.089,0.839,0.152
Jonathan Bamba,Lille,Ligue 1,2022,26,Forward,WAM,7,629,3,0.429,2.428,0.347,2.428,0.347,2.769,,0.692,,2,0.286,1.153,0.165,1.149,0.164,2.186,0.313,0.894,0.128,0.457,0.065,0.437,0.063
Loïs Openda,Lens,Ligue 1,2022,22,Forward,FW,7,512,4,0.703,4.08,0.717,4.08,0.717,3.246,,0.855,,0,,1.143,0.201,1.143,0.201,2.184,0.384,0.83,0.146,0.343,0.06,0.487,0.086
Achraf Hakimi,Paris Saint-Germain,Ligue 1,2022,23,Defender,FB,7,534,2,0.337,0.765,0.129,0.765,0.129,1.68,,1.005,,1,0.169,2.073,0.349,2.068,0.349,2.152,0.363,0.531,0.089,0.494,0.083,0.037,0.006
Moses Simon,Nantes,Ligue 1,2022,27,Forward,WAM,5,440,3,0.614,2.209,0.452,2.209,0.452,2.175,,0.569,,1,0.205,1.007,0.206,0.799,0.163,2.039,0.417,0.441,0.09,0.193,0.04,0.248,0.051
David da Costa,Lens,Ligue 1,2022,21,Midfielder,WAM,7,517,0,,1.066,0.185,1.066,0.185,0.475,,-0.014,,3,0.522,1.894,0.33,1.894,0.33,2.032,0.354,1.167,0.203,0.765,0.133,0.401,0.07
Tetê,Lyon,Ligue 1,2022,22,Forward,WAM,7,539,4,0.668,2.839,0.474,2.839,0.474,2.878,,1.103,,2,0.334,1.423,0.238,1.126,0.188,1.982,0.331,0.667,0.111,0.321,0.054,0.346,0.058
Junya Ito,Reims,Ligue 1,2022,29,Forward,FW,6,408,2,0.441,1.48,0.326,1.48,0.326,2.004,,0.682,,0,,1.079,0.238,1.067,0.235,1.814,0.4,0.703,0.155,0.463,0.102,0.24,0.053
Flavien Tait,Rennes,Ligue 1,2022,29,Midfielder,CAM,7,505,1,0.178,1.24,0.221,1.24,0.221,1.196,,0.506,,0,,0.86,0.153,0.858,0.153,1.555,0.277,0.948,0.169,0.687,0.122,0.261,0.047
Malo Gusto,Lyon,Ligue 1,2022,19,Defender,FB,7,593,0,,0.13,0.02,0.13,0.02,0.051,,0.005,,1,0.152,1.648,0.25,1.643,0.249,1.526,0.232,0.672,0.102,0.433,0.066,0.239,0.036
Nuno Mendes,Paris Saint-Germain,Ligue 1,2022,20,Defender,FB,7,461,1,0.195,1.173,0.229,1.173,0.229,0.837,,-0.001,,2,0.39,1.174,0.229,1.172,0.229,1.496,0.292,0.71,0.139,0.655,0.128,0.055,0.011
Alexis Sánchez,Marseille,Ligue 1,2022,33,Forward,WAM,6,385,4,0.935,3.021,0.706,2.24,0.524,3.787,,1.508,,0,,0.705,0.165,0.664,0.155,1.44,0.337,0.128,0.03,0.211,0.049,-0.082,-0.019
Azzedine Ounahi,Angers,Ligue 1,2022,22,Midfielder,CB,7,608,0,,1.578,0.234,1.578,0.234,0.643,,0.247,,0,,0.685,0.101,0.6,0.089,1.423,0.211,0.892,0.132,0.569,0.084,0.323,0.048
Nuno Tavares,Marseille,Ligue 1,2022,22,Defender,FB,7,537,3,0.503,0.779,0.13,0.779,0.13,1.464,,0.958,,0,,1.195,0.2,0.971,0.163,1.407,0.236,0.911,0.153,0.699,0.117,0.212,0.035
Muhammed Cham,Clermont,Ligue 1,2022,21,Forward,FW,7,475,3,0.568,1.545,0.293,1.545,0.293,1.764,,0.469,,0,,0.526,0.1,0.413,0.078,1.4,0.265,0.595,0.113,0.342,0.065,0.253,0.048
Adrien Hunou,Angers,Ligue 1,2022,28,Forward,FW,6,463,2,0.389,1.838,0.357,1.838,0.357,1.862,,0.539,,0,,0.087,0.017,0.079,0.015,1.4,0.272,0.058,0.011,0.024,0.005,0.034,0.007
Cengiz Ünder,Marseille,Ligue 1,2022,25,Forward,WAM,6,305,0,,1.257,0.371,1.257,0.371,0.476,,-0.207,,1,0.295,0.573,0.169,0.459,0.135,1.393,0.411,0.252,0.074,0.05,0.015,0.202,0.06
Evann Guessand,Nantes,Ligue 1,2022,21,Forward,FW,7,452,1,0.199,1.501,0.299,1.501,0.299,1.439,,0.764,,2,0.398,0.498,0.099,0.498,0.099,1.369,0.273,0.634,0.126,0.136,0.027,0.498,0.099
Gaëtan Laborde,Nice,Ligue 1,2022,28,Forward,FW,6,431,2,0.418,1.709,0.357,1.709,0.357,1.843,,0.739,,0,,0.555,0.116,0.555,0.116,1.369,0.286,0.41,0.086,-0.011,-0.002,0.42,0.088
Rémy Cabella,Lille,Ligue 1,2022,32,Midfielder,CAM,3,239,0,,0.419,0.158,0.419,0.158,0.943,,0.524,,4,1.506,1.573,0.592,1.388,0.523,1.34,0.505,0.884,0.333,0.774,0.291,0.11,0.041
Mama Baldé,Troyes,Ligue 1,2022,26,Forward,WAM,7,514,3,0.525,2.267,0.397,2.267,0.397,2.807,,1.742,,1,0.175,0.198,0.035,0.198,0.035,1.327,0.232,-0.079,-0.014,-0.031,-0.005,-0.048,-0.008
Krépin Diatta,Monaco,Ligue 1,2022,23,Forward,WAM,6,471,1,0.191,1.211,0.231,1.211,0.231,0.76,,0.353,,0,,0.411,0.078,0.41,0.078,1.309,0.25,0.281,0.054,-0.001,0,0.282,0.054
Rafael Ratão,Toulouse,Ligue 1,2022,26,Forward,FW,6,401,2,0.449,1.781,0.4,1.781,0.4,2.022,,0.35,,0,,0.243,0.054,0.242,0.054,1.293,0.29,0.171,0.038,-0.013,-0.003,0.184,0.041
Amine Gouiri,Rennes,Ligue 1,2022,22,Forward,FW,5,387,1,0.233,1.795,0.417,1.795,0.417,1.654,,0.864,,0,,0.665,0.155,0.588,0.137,1.292,0.301,0.09,0.021,-0.094,-0.022,0.184,0.043
