Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Paulo Dybala,Roma,Serie A,2022,28,Forward,WAM,6,475,3,0.568,3.064,0.581,3.064,0.581,3.175,,1.72,,2,0.379,1.482,0.281,1.242,0.235,3.46,0.656,1.016,0.193,0.64,0.121,0.377,0.071
Rafael Leão,Milan,Serie A,2022,23,Forward,WAM,6,467,3,0.578,2.368,0.456,2.368,0.456,2.744,,1.465,,3,0.578,0.781,0.15,0.781,0.15,2.476,0.477,1.021,0.197,0.335,0.065,0.686,0.132
Tammy Abraham,Roma,Serie A,2022,24,Forward,FW,6,486,2,0.37,3.453,0.639,3.453,0.639,3.115,,1.374,,1,0.185,0.514,0.095,0.514,0.095,2.331,0.432,0.085,0.016,-0.045,-0.008,0.131,0.024
Gerard Deulofeu,Udinese,Serie A,2022,28,Forward,WAM,6,500,0,,2.275,0.41,2.275,0.41,0.596,,0.077,,3,0.54,1.379,0.248,1.05,0.189,2.281,0.411,1.509,0.272,0.991,0.178,0.518,0.093
Victor Osimhen,Napoli,Serie A,2022,23,Forward,FW,5,425,2,0.424,4.475,0.948,4.475,0.948,0.999,,0.302,,1,0.212,0.347,0.074,0.347,0.073,2.152,0.456,-0.017,-0.004,-0.161,-0.034,0.143,0.03
Khvicha Kvaratskhelia,Napoli,Serie A,2022,21,Forward,FW,6,368,4,0.978,2.224,0.544,2.224,0.544,2.334,,1.037,,1,0.245,1.116,0.273,1.116,0.273,2.152,0.526,0.954,0.233,0.649,0.159,0.306,0.075
Hirving Lozano,Napoli,Serie A,2022,27,Forward,WAM,6,322,0,,1.494,0.418,1.494,0.418,0.073,,0.055,,1,0.28,1.156,0.323,1.156,0.323,2.096,0.586,0.581,0.162,0.537,0.15,0.044,0.012
Edin Dzeko,Internazionale,Serie A,2022,36,Forward,FW,6,250,1,0.36,1.954,0.703,1.954,0.703,2.088,,0.769,,1,0.36,0.851,0.306,0.85,0.306,1.774,0.639,0.449,0.161,0.127,0.046,0.322,0.116
Denzel Dumfries,Internazionale,Serie A,2022,26,Defender,FB,6,419,1,0.215,1.339,0.288,1.339,0.288,1.422,,0.32,,1,0.215,0.949,0.204,0.938,0.201,1.674,0.36,0.737,0.158,0.617,0.132,0.12,0.026
Darko Lazovic,Verona,Serie A,2022,31,Midfielder,WAM,6,520,0,,0.544,0.094,0.544,0.094,0.176,,-0.102,,1,0.173,1.353,0.234,1.352,0.234,1.632,0.283,1.07,0.185,0.747,0.129,0.322,0.056
Lautaro Martínez,Internazionale,Serie A,2022,25,Forward,FW,6,470,3,0.574,2.885,0.552,2.885,0.552,2.544,,1.144,,1,0.191,0.5,0.096,0.5,0.096,1.625,0.311,0.374,0.072,0.097,0.019,0.277,0.053
Brahim Díaz,Milan,Serie A,2022,23,Midfielder,WAM,4,213,1,0.423,0.948,0.4,0.948,0.4,0.96,,0.038,,1,0.423,0.577,0.244,0.577,0.244,1.445,0.611,0.293,0.124,0.238,0.101,0.055,0.023
Boulaye Dia,Salernitana,Serie A,2022,25,Forward,CAM,5,376,3,0.718,1.638,0.392,1.638,0.392,2.622,,1.054,,2,0.479,0.56,0.134,0.56,0.134,1.428,0.342,0.563,0.135,0.033,0.008,0.53,0.127
