,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Kieffer Moore,Bournemouth,Premier League,39,17.400000000000002,29.0,13.0,35.0,6.0,4.0
1,Brennan Johnson,Nottingham Forest,Premier League,38,19.0,16.0,17.0,32.0,14.0,16.0
2,Gonçalo Guedes,Wolverhampton Wanderers,Premier League,37,19.200000000000003,20.0,16.0,13.0,15.0,32.0
3,Jarrod Bowen,West Ham United,Premier League,36,19.6,23.0,23.0,14.0,20.0,18.0
4,Joelinton,Newcastle United,Premier League,35,20.200000000000003,19.0,16.0,20.0,22.0,24.0
5,Alexander Iwobi,Everton,Premier League,34,21.8,7.0,10.0,14.0,23.0,55.0
6,Jordan Ayew,Crystal Palace,Premier League,33,23.0,12.0,15.0,41.0,15.0,32.0
7,Jamie Vardy,Leicester City,Premier League,32,27.000000000000004,48.0,41.0,24.0,20.0,2.0
8,Michail Antonio,West Ham United,Premier League,31,28.400000000000002,29.0,44.0,16.0,39.0,14.0
9,Bobby De Cordova-Reid,Fulham,Premier League,30,28.8,14.0,45.0,27.0,52.0,6.0
10,Leon Bailey,Aston Villa,Premier League,29,30.6,17.0,18.0,61.0,26.0,31.0
11,Saïd Benrahma,West Ham United,Premier League,28,31.4,15.0,16.0,15.0,40.0,71.0
12,Danny Welbeck,Brighton and Hove Albion,Premier League,27,35.2,82.0,33.0,30.0,16.0,15.0
13,Pedro Neto,Wolverhampton Wanderers,Premier League,26,35.6,38.0,20.0,13.0,34.0,73.0
14,Adam Armstrong,Southampton,Premier League,25,35.6,19.0,33.0,28.0,49.0,49.0
15,Dominic Solanke,Bournemouth,Premier League,24,35.800000000000004,33.0,30.0,59.0,22.0,35.0
16,Ollie Watkins,Aston Villa,Premier League,23,37.4,56.0,29.0,20.0,39.0,43.0
17,Demarai Gray,Everton,Premier League,22,38.400000000000006,52.0,30.0,28.0,23.0,59.0
18,Leandro Trossard,Brighton and Hove Albion,Premier League,21,41.400000000000006,33.0,36.0,29.0,56.0,53.0
19,Odsonne Édouard,Crystal Palace,Premier League,20,42.2,27.0,38.0,78.0,38.0,30.0
20,Jadon Sancho,Manchester United,Premier League,19,47.8,44.0,38.0,70.0,33.0,54.0
21,Anthony Gordon,Everton,Premier League,18,49.400000000000006,21.0,45.0,54.0,53.0,74.0
22,Danny Ings,Aston Villa,Premier League,17,51.6,47.0,31.0,82.0,22.0,76.0
23,Son Heung-Min,Tottenham Hotspur,Premier League,16,52.800000000000004,76.0,59.0,16.0,47.0,66.0
24,Che Adams,Southampton,Premier League,15,52.800000000000004,84.0,74.0,34.0,55.0,17.0
25,Luis Díaz,Liverpool,Premier League,14,56.400000000000006,80.0,66.0,68.0,42.0,26.0
26,Allan Saint-Maximin,Newcastle United,Premier League,13,58.0,37.0,30.0,50.0,78.0,95.0
27,Ivan Toney,Brentford,Premier League,12,59.00000000000001,70.0,68.0,40.0,56.0,61.0
28,Gabriel Martinelli,Arsenal,Premier League,11,61.0,60.0,56.0,33.0,70.0,86.0
29,Aleksandar Mitrovic,Fulham,Premier League,10,61.2,39.0,79.0,100.0,76.0,12.0
30,Rodrigo,Leeds United,Premier League,9,61.4,47.0,83.0,74.0,83.0,20.0
31,Marcus Rashford,Manchester United,Premier League,8,64.00000000000001,92.0,70.0,48.0,48.0,62.0
32,Raheem Sterling,Chelsea,Premier League,7,74.4,68.0,78.0,54.0,87.0,85.0
33,Wilfried Zaha,Crystal Palace,Premier League,6,75.0,50.0,69.0,72.0,86.0,98.0
34,Mohamed Salah,Liverpool,Premier League,5,79.60000000000001,97.0,81.0,69.0,70.0,81.0
35,Gabriel Jesus,Arsenal,Premier League,4,85.00000000000001,82.0,94.0,65.0,92.0,92.0
36,Harry Kane,Tottenham Hotspur,Premier League,3,87.60000000000001,96.0,90.0,99.0,67.0,86.0
37,Roberto Firmino,Liverpool,Premier League,2,88.0,52.0,98.0,93.0,100.0,97.0
38,Erling Haaland,Manchester City,Premier League,1,97.4,100.0,100.0,100.0,99.0,88.0
