,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,36,16.619999999999997,7.1,6.3,9.0,14.3,46.4
1,Takuma Asano,VfL Bochum 1848,Bundesliga,35,19.82,7.4,9.3,17.7,40.0,24.7
2,Omar Marmoush,VfL Wolfsburg,Bundesliga,34,21.640000000000004,53.5,19.0,16.1,3.1,16.5
3,Gerrit Holtmann,VfL Bochum 1848,Bundesliga,33,22.319999999999997,7.7,10.3,30.3,43.9,19.4
4,Robert Skov,TSG Hoffenheim,Bundesliga,32,23.740000000000002,20.2,11.1,14.7,30.6,42.1
5,Marius Bülter,FC Schalke 04,Bundesliga,31,25.22,8.5,8.1,36.4,26.7,46.4
6,Chidera Ejuke,Hertha BSC,Bundesliga,30,31.14,9.9,18.7,37.0,36.5,53.6
7,Wilfried Kanga,Hertha BSC,Bundesliga,29,31.900000000000002,39.2,47.4,4.4,39.7,28.8
8,Jordan Siebatcheu,1. FC Union Berlin,Bundesliga,28,32.34,79.2,29.3,41.3,5.9,6.0
9,Anthony Modeste,Borussia Dortmund,Bundesliga,27,32.38,38.7,37.2,49.4,20.1,16.5
10,Karim Onisiwo,1. FSV Mainz 05,Bundesliga,26,32.84,56.3,29.3,35.2,19.5,23.9
11,Ermedin Demirovic,FC Augsburg,Bundesliga,25,33.7,46.1,21.5,72.8,7.1,21.0
12,Simon Terodde,FC Schalke 04,Bundesliga,24,34.32,49.8,38.8,47.7,14.3,21.0
13,Philipp Hofmann,VfL Bochum 1848,Bundesliga,23,34.64,57.4,21.7,15.5,31.6,47.0
14,Lukas Nmecha,VfL Wolfsburg,Bundesliga,22,41.46000000000001,60.0,50.5,72.3,16.0,8.5
15,Andrej Kramaric,TSG Hoffenheim,Bundesliga,21,44.620000000000005,66.3,60.1,36.6,36.2,23.9
16,Timo Werner,RB Leipzig,Bundesliga,20,45.52,63.3,56.4,9.0,47.5,51.4
17,Moussa Diaby,Bayer 04 Leverkusen,Bundesliga,19,47.34,14.2,26.9,9.3,90.5,95.8
18,Dodi Lukébakio,Hertha BSC,Bundesliga,18,47.839999999999996,35.4,43.9,76.1,48.6,35.2
19,Randal Kolo Muani,Eintracht Frankfurt,Bundesliga,17,48.1,64.7,35.7,50.5,28.4,61.2
20,Alassane Plea,Mönchengladbach,Bundesliga,16,52.24000000000001,16.7,25.5,44.4,74.7,99.9
21,Simon Zoller,VfL Bochum 1848,Bundesliga,15,54.56,88.0,81.8,56.2,22.9,23.9
22,Patrik Schick,Bayer 04 Leverkusen,Bundesliga,14,56.12,96.8,94.6,46.5,36.8,5.9
23,Silas Mvumpa,VfB Stuttgart,Bundesliga,13,56.36,25.6,61.9,29.4,76.0,88.9
24,Marvin Ducksch,SV Werder Bremen,Bundesliga,12,57.56,66.8,20.7,89.1,33.4,77.8
25,Georginio Rutter,TSG Hoffenheim,Bundesliga,11,58.620000000000005,16.0,38.6,50.5,90.0,98.0
26,Niclas Füllkrug,SV Werder Bremen,Bundesliga,10,59.66,57.1,82.3,24.9,78.8,55.2
27,Christopher Nkunku,RB Leipzig,Bundesliga,9,60.519999999999996,70.5,80.6,69.3,57.9,24.3
28,Ritsu Doan,Sport-Club Freiburg,Bundesliga,8,63.8,9.7,59.2,82.9,94.6,72.6
29,Sheraldo Becker,1. FC Union Berlin,Bundesliga,7,64.06,20.8,59.2,91.3,84.2,64.8
30,Thomas Müller,FC Bayern München,Bundesliga,6,70.7,79.2,64.4,38.6,93.1,78.2
31,Michael Gregoritsch,Sport-Club Freiburg,Bundesliga,5,76.06,89.1,89.9,96.2,54.3,50.8
32,Marcus Thuram,Mönchengladbach,Bundesliga,4,76.9,69.9,97.6,46.5,90.3,80.2
33,Jamal Musiala,FC Bayern München,Bundesliga,3,84.70000000000002,99.2,95.9,83.3,79.8,65.3
34,Sadio Mané,FC Bayern München,Bundesliga,2,85.14,84.0,96.2,97.5,84.7,63.3
35,Leroy Sané,FC Bayern München,Bundesliga,1,95.80000000000001,96.9,98.3,99.8,99.5,84.5
