,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Bilal Ould-Chikh,FC Volendam,Eredivise,45,20.340000000000003,10.5,6.4,13.8,27.5,43.5
1,Richairo Zivkovic,FC Emmen,Eredivise,44,20.36,68.4,26.1,0.8,2.0,4.5
2,Mats Köhlert,sc Heerenveen,Eredivise,43,21.48,14.3,7.5,19.9,12.5,53.2
3,Christos Tzolis,FC Twente,Eredivise,42,23.400000000000002,21.4,17.2,34.1,12.9,31.4
4,Elayis Tavsan,N.E.C.,Eredivise,41,24.62,14.9,13.0,22.2,19.3,53.7
5,Ole Romeny,FC Emmen,Eredivise,40,28.380000000000003,28.3,16.4,59.2,8.8,29.2
6,Isac Lidberg,Go Ahead Eagles,Eredivise,39,29.580000000000002,32.1,23.4,62.8,12.7,16.9
7,Couhaib Driouech,Excelsior Rotterdam,Eredivise,38,30.200000000000003,19.0,13.0,17.5,32.2,69.3
8,Remco Balk,SC Cambuur,Eredivise,37,31.12,29.8,40.8,8.0,47.0,30.0
9,Bobby Adekanye,Go Ahead Eagles,Eredivise,36,31.900000000000006,18.4,13.7,32.6,45.2,49.6
10,Tijjani Noslin,Fortuna Sittard,Eredivise,35,31.940000000000005,18.3,33.0,22.3,53.8,32.3
11,Henk Veerman,FC Volendam,Eredivise,34,33.2,40.6,36.1,60.0,20.2,9.1
12,Rui Mendes,FC Emmen,Eredivise,33,34.58,19.3,12.2,14.0,45.4,82.0
13,Paulos Abraham,FC Groningen,Eredivise,32,35.800000000000004,13.6,25.6,47.1,35.4,57.3
14,Paul Gladon,Fortuna Sittard,Eredivise,31,37.58,34.4,29.4,78.1,16.8,29.2
15,Moussa Sylla,FC Utrecht,Eredivise,30,37.9,28.5,13.1,14.5,58.9,74.5
16,Vito van Crooij,Sparta Rotterdam,Eredivise,29,38.28,33.6,41.3,47.7,39.6,29.2
17,Daryl van Mieghem,FC Volendam,Eredivise,28,40.2,22.9,37.6,21.4,71.0,48.1
18,Roberts Uldrikis,SC Cambuur,Eredivise,27,40.3,66.5,39.4,23.4,24.1,48.1
19,Javairô Dilrosun,Feyenoord,Eredivise,26,41.92,31.1,27.5,48.2,47.0,55.8
20,Myron van Brederode,AZ,Eredivise,25,43.980000000000004,19.0,22.2,19.9,64.3,94.5
21,Nikolai Frederiksen,Vitesse,Eredivise,24,46.14,50.1,50.7,93.8,19.6,16.5
22,Oliver Valaker Edvardsen,Go Ahead Eagles,Eredivise,23,46.800000000000004,40.2,66.5,45.7,53.8,27.8
23,Amin Sarr,sc Heerenveen,Eredivise,22,47.0,29.5,45.2,22.9,60.9,76.5
24,Ricky van Wolfswinkel,FC Twente,Eredivise,21,48.21999999999999,90.3,71.9,26.3,25.6,27.0
25,Tobias Lauritsen,Sparta Rotterdam,Eredivise,20,49.720000000000006,65.6,77.2,51.2,35.0,19.6
26,Oussama Tannane,N.E.C.,Eredivise,19,50.16,51.7,22.3,37.2,55.0,84.6
27,Cyril Ngonge,FC Groningen,Eredivise,18,51.9,23.8,26.3,63.5,68.6,77.3
28,Sydney van Hooijdonk,sc Heerenveen,Eredivise,17,52.42,41.4,62.0,79.7,56.1,22.9
29,Patrik Wålemark,Feyenoord,Eredivise,16,54.480000000000004,17.0,26.3,41.6,91.8,95.7
30,Brian Brobbey,Ajax,Eredivise,15,57.00000000000001,100.0,99.0,74.9,10.1,1.0
31,Burak Yilmaz,Fortuna Sittard,Eredivise,14,57.74,64.4,60.0,89.8,25.4,49.1
32,Jens Odgaard,AZ,Eredivise,13,62.00000000000001,98.1,94.7,91.3,18.3,7.6
33,Steven Berghuis,Ajax,Eredivise,12,62.78,27.9,38.4,66.5,84.6,96.5
34,Michiel Kramer,RKC Waalwijk,Eredivise,11,63.16,87.5,84.0,60.7,47.5,36.1
35,Robert Mühren,FC Volendam,Eredivise,10,66.02,67.2,95.0,44.8,81.6,41.5
36,Johan Bakayoko,PSV,Eredivise,9,66.08000000000001,38.9,83.4,37.2,99.4,71.5
37,Anastasios Douvikas,FC Utrecht,Eredivise,8,66.54,81.5,87.9,72.7,79.2,11.4
38,Daishawn Redan,FC Utrecht,Eredivise,7,67.4,80.3,91.5,38.2,55.9,71.1
39,Václav Cerny,FC Twente,Eredivise,6,67.60000000000001,52.2,66.9,88.3,63.6,67.0
40,Dusan Tadic,Ajax,Eredivise,5,68.1,83.0,36.8,23.7,97.6,99.4
41,Danilo,Feyenoord,Eredivise,4,71.12,89.3,96.0,100.0,57.3,13.0
42,Steven Bergwijn,Ajax,Eredivise,3,79.18,84.8,80.3,68.6,80.2,82.0
43,Bas Dost,FC Utrecht,Eredivise,2,88.14000000000001,72.3,96.1,97.1,96.8,78.4
44,Cody Gakpo,PSV,Eredivise,1,95.48,92.5,96.5,91.9,99.7,96.8
