,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Aitor Ruibal,Real Betis,La Liga,32,18.700000000000003,7.1,11.6,15.4,13.9,45.5
1,Lucas Pérez,Cádiz,La Liga,31,20.86,14.9,29.3,1.1,34.5,24.5
2,Anthony Lozano,Cádiz,La Liga,30,22.560000000000002,19.8,16.7,20.6,13.9,41.8
3,Borja Mayoral,Getafe,La Liga,29,23.060000000000002,14.1,22.0,22.5,22.6,34.1
4,Valentín Castellanos,Girona,La Liga,28,24.900000000000002,44.4,27.4,20.2,15.3,17.2
5,Javier Puado,Espanyol,La Liga,27,27.32,27.6,22.4,3.2,26.7,56.7
6,Enes Ünal,Getafe,La Liga,26,27.560000000000002,24.6,23.2,44.9,17.1,28.0
7,Sergio Camello,Rayo Vallecano,La Liga,25,28.68,20.9,35.8,38.1,32.4,16.2
8,Ezequiel Ponce,Elche,La Liga,24,30.32,60.4,34.8,22.4,16.4,17.6
9,Samuel Lino,Valencia CF,La Liga,23,37.14,30.1,27.5,38.2,31.1,58.8
10,Joselu,Espanyol,La Liga,22,38.18000000000001,56.9,48.9,51.2,29.8,4.1
11,Borja Iglesias,Real Betis,La Liga,21,39.32,81.6,43.4,34.8,12.7,24.1
12,Vedat Muriqi,Mallorca,La Liga,20,39.88,45.8,43.9,66.7,27.1,15.9
13,Nico Williams,Athletic Club,La Liga,19,41.099999999999994,16.6,21.0,63.3,46.3,58.3
14,Iago Aspas,Celta de Vigo,La Liga,18,41.34,37.8,26.6,80.6,26.1,35.6
15,Juanmi,Real Betis,La Liga,17,42.14,13.0,51.7,57.9,56.4,31.7
16,João Félix,Atlético de Madrid,La Liga,16,42.94,47.0,40.0,40.7,42.1,44.9
17,Iker Muniain,Athletic Club,La Liga,15,43.96000000000001,54.9,32.5,26.4,38.6,67.4
18,Chimy Avila,Osasuna,La Liga,14,46.18,37.7,37.3,62.4,49.1,44.4
19,Nicolas Jackson,Villarreal,La Liga,13,46.53999999999999,17.6,49.3,43.9,71.1,50.8
20,Largie Ramazani,Almería,La Liga,12,47.519999999999996,13.6,40.9,69.6,48.1,65.4
21,Iñaki Williams,Athletic Club,La Liga,11,48.14,81.3,51.9,25.7,49.1,32.7
22,Nabil Fekir,Real Betis,La Liga,10,50.120000000000005,67.1,20.6,32.4,48.7,81.8
23,Álvaro Morata,Atlético de Madrid,La Liga,9,57.38,79.2,72.4,88.0,43.4,3.9
24,Umar Sadiq,Real Sociedad,La Liga,8,59.68,48.9,62.0,79.5,48.2,59.8
25,Ousmane Dembélé,Barcelona,La Liga,7,68.8,41.4,51.9,68.2,84.9,97.6
26,Raphinha,Barcelona,La Liga,6,74.20000000000002,68.7,59.1,48.6,95.2,99.4
27,Alex Berenguer,Athletic Club,La Liga,5,78.54,88.3,80.9,84.9,79.8,58.8
28,Vinícius Júnior,Real Madrid,La Liga,4,83.86000000000001,79.6,81.4,75.0,83.7,99.6
29,Gerard Moreno,Villarreal,La Liga,3,85.22000000000001,78.1,96.6,78.5,94.1,78.8
30,Karim Benzema,Real Madrid,La Liga,2,87.00000000000001,99.8,98.4,67.4,91.0,78.4
31,Robert Lewandowski,Barcelona,La Liga,1,90.3,99.6,100.0,100.0,100.0,51.9
