,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Jérémie Bela,Clermont,Ligue 1,51,17.060000000000002,9.4,6.2,15.8,13.6,40.3
1,Islam Slimani,Brest,Ligue 1,50,20.160000000000004,36.0,16.3,33.3,12.2,3.0
2,Jim Allevinah,Clermont,Ligue 1,49,20.759999999999998,17.5,10.8,25.2,12.0,38.3
3,Andy Delort,Nice,Ligue 1,48,21.700000000000003,49.6,17.3,16.6,7.7,17.3
4,Romain Hamouma,Ajaccio,Ligue 1,47,22.700000000000003,16.9,7.1,30.7,20.0,38.8
5,Lassine Sinayoko,Auxerre,Ligue 1,46,23.14,16.2,21.6,0.5,35.6,41.8
6,Komnen Andric,Clermont,Ligue 1,45,24.34,44.5,26.1,28.7,16.7,5.7
7,Mostafa Mohamed,Nantes,Ligue 1,44,24.740000000000002,20.6,13.2,64.6,17.2,8.1
8,Wilson Odobert,Troyes,Ligue 1,43,25.24,27.5,12.6,36.9,9.4,39.8
9,Cyrille Bayala,Ajaccio,Ligue 1,42,26.119999999999997,10.9,9.6,31.7,19.1,59.3
10,Mounaim El Idrissy,Ajaccio,Ligue 1,41,27.14,31.6,21.9,15.7,18.0,48.5
11,Gauthier Hein,Auxerre,Ligue 1,40,30.36,13.5,21.7,13.8,45.0,57.8
12,Wahbi Khazri,Montpellier,Ligue 1,39,31.14,14.4,12.5,68.1,18.9,41.8
13,Krépin Diatta,Monaco,Ligue 1,38,32.28,11.1,24.9,30.7,55.4,39.3
14,Nicolas Pépé,Nice,Ligue 1,37,33.160000000000004,51.2,24.7,19.4,20.4,50.1
15,Jonathan David,Lille,Ligue 1,36,35.62,59.9,35.1,54.9,16.2,12.0
16,Habib Diallo,Strasbourg,Ligue 1,35,36.18,57.9,15.8,63.9,24.7,18.6
17,Muhammed-Cham Saracevic,Clermont,Ligue 1,34,39.18,21.5,29.8,33.4,49.9,61.3
18,Arnaud Nordin,Montpellier,Ligue 1,33,39.42,20.7,29.0,63.7,41.9,41.8
19,Zakaria Aboukhlal,Toulouse,Ligue 1,32,39.92,28.6,29.6,31.8,46.8,62.8
20,Lois Diony,Angers,Ligue 1,31,40.480000000000004,43.1,62.7,17.4,45.2,34.0
21,Cengiz Ünder,Marseille,Ligue 1,30,43.3,21.7,52.4,7.8,85.6,49.0
22,Rafael Ratão,Toulouse,Ligue 1,29,45.00000000000001,30.1,64.1,33.7,65.5,31.6
23,Gaëtan Laborde,Nice,Ligue 1,28,46.7,31.8,45.5,51.0,58.8,46.4
24,Sofiane Boufal,Angers,Ligue 1,27,47.8,37.0,18.0,76.3,40.6,67.1
25,Ludovic Ajorque,Strasbourg,Ligue 1,26,48.400000000000006,86.6,32.7,82.1,3.7,36.9
26,Elye Wahi,Montpellier,Ligue 1,25,49.06000000000001,69.4,65.2,52.4,21.9,36.4
27,Evann Guessand,Nantes,Ligue 1,24,50.02,21.7,39.3,54.4,60.5,74.2
28,Junya Ito,Reims,Ligue 1,23,53.3,24.7,32.4,46.2,81.0,82.2
29,Terem Moffi,Lorient,Ligue 1,22,53.699999999999996,82.2,86.8,37.2,33.4,28.9
30,Jonathan Bamba,Lille,Ligue 1,21,53.980000000000004,37.2,47.3,35.8,68.8,80.8
31,Amine Gouiri,Rennes,Ligue 1,20,54.26,49.2,65.7,65.0,68.3,23.1
32,Adrien Hunou,Angers,Ligue 1,19,54.84,46.4,84.7,56.2,69.3,17.6
33,Kevin Gameiro,Strasbourg,Ligue 1,18,54.94,96.1,84.1,40.4,28.6,25.5
34,Breel Embolo,Monaco,Ligue 1,17,55.660000000000004,65.7,69.2,55.0,45.5,42.9
35,Wissam Ben Yedder,Monaco,Ligue 1,16,55.84,38.9,55.1,47.3,63.3,74.6
36,Folarin Balogun,Reims,Ligue 1,15,55.84000000000002,90.2,75.9,46.5,21.7,44.9
37,Moses Simon,Nantes,Ligue 1,14,56.66,39.5,58.7,38.8,80.6,65.7
38,Mama Baldé,Troyes,Ligue 1,13,61.099999999999994,34.5,84.3,90.6,79.5,16.6
39,Florian Sotoca,Lens,Ligue 1,12,61.44,63.6,67.5,22.0,84.3,69.8
40,Alexandre Lacazette,Lyon,Ligue 1,11,62.0,97.2,86.1,58.4,37.1,31.2
41,Thijs Dallinga,Toulouse,Ligue 1,10,62.02000000000001,42.2,90.2,62.9,85.9,28.9
42,Alexis Sánchez,Marseille,Ligue 1,9,62.32000000000001,77.2,75.2,86.8,53.1,19.3
43,Dango Ouattara,Lorient,Ligue 1,8,62.980000000000004,33.4,45.3,59.8,88.5,87.9
44,Karl Toko-Ekambi,Lyon,Ligue 1,7,65.14,50.2,50.9,58.6,90.2,75.8
45,Martin Terrier,Rennes,Ligue 1,6,66.12,39.3,59.6,94.6,72.4,64.7
46,Tetê,Lyon,Ligue 1,5,66.92000000000002,74.4,68.8,57.4,67.4,66.6
47,Loïs Openda,Lens,Ligue 1,4,78.02000000000001,94.8,96.5,49.2,75.4,74.2
48,Kylian Mbappé,Paris Saint-Germain,Ligue 1,3,95.70000000000002,99.8,99.7,95.3,84.3,99.4
49,Neymar,Paris Saint-Germain,Ligue 1,2,96.22,96.7,97.1,89.5,99.8,98.0
50,Lionel Messi,Paris Saint-Germain,Ligue 1,1,99.86000000000001,99.8,99.6,100.0,99.9,100.0
