,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Nigel Thomas,Paços de Ferreira,Primeira Liga,40,16.2,20.0,15.0,19.0,8.0,19.0
1,Kyosuke Tagawa,Santa Clara,Primeira Liga,39,16.200000000000003,17.0,15.0,24.0,8.0,17.0
2,André Bukia,Arouca,Primeira Liga,38,18.799999999999997,13.0,15.0,18.0,13.0,35.0
3,Fábio Ronaldo,Rio Ave,Primeira Liga,37,22.200000000000003,14.0,14.0,23.0,24.0,36.0
4,André Vidigal,Marítimo,Primeira Liga,36,26.4,16.0,19.0,5.0,21.0,71.0
5,Allano,Santa Clara,Primeira Liga,35,32.8,36.0,25.0,20.0,31.0,52.0
6,Kévin Zohi,Vizela,Primeira Liga,34,34.0,43.0,21.0,62.0,7.0,37.0
7,Yago Cariello,Portimonense,Primeira Liga,33,34.6,64.0,52.0,8.0,35.0,14.0
8,Pepê,FC Porto,Primeira Liga,32,34.6,21.0,15.0,18.0,31.0,88.0
9,Junior Kadile,FC Famalicão,Primeira Liga,31,36.6,38.0,46.0,20.0,35.0,44.0
10,Rafael Martins,Casa Pia,Primeira Liga,30,37.0,36.0,30.0,71.0,15.0,33.0
11,Tiago Gouveia,Estoril Praia,Primeira Liga,29,37.6,20.0,18.0,62.0,44.0,44.0
12,Nuno Santos,Sporting CP,Primeira Liga,28,38.2,42.0,41.0,19.0,46.0,43.0
13,Aziz Yakubu,Rio Ave,Primeira Liga,27,38.6,59.0,48.0,42.0,30.0,14.0
14,Anderson Silva,Vitória Guimarães,Primeira Liga,26,40.6,94.0,61.0,25.0,3.0,20.0
15,Héctor Hernández,Chaves,Primeira Liga,25,40.800000000000004,35.0,53.0,45.0,43.0,28.0
16,Kenji Gorré,Boavista,Primeira Liga,24,41.4,63.0,32.0,17.0,16.0,79.0
17,Jota Silva,Vitória Guimarães,Primeira Liga,23,43.4,18.0,32.0,87.0,38.0,42.0
18,Batxi,Chaves,Primeira Liga,22,44.0,37.0,29.0,15.0,60.0,79.0
19,Álex Millán,FC Famalicão,Primeira Liga,21,44.199999999999996,61.0,26.0,93.0,14.0,27.0
20,Ricardo Horta,Sporting Braga,Primeira Liga,20,45.800000000000004,45.0,39.0,45.0,48.0,52.0
21,Juan Delgado,Paços de Ferreira,Primeira Liga,19,48.0,15.0,19.0,22.0,87.0,97.0
22,Rafa Mújica,Arouca,Primeira Liga,18,48.599999999999994,24.0,56.0,99.0,57.0,7.0
23,Juan Manuel Boselli,Gil Vicente,Primeira Liga,17,49.60000000000001,29.0,65.0,44.0,74.0,36.0
24,João Carlos,Estoril Praia,Primeira Liga,16,52.2,99.0,80.0,63.0,6.0,13.0
25,Saviour Godwin,Casa Pia,Primeira Liga,15,52.400000000000006,32.0,29.0,57.0,56.0,88.0
26,Trincão,Sporting CP,Primeira Liga,14,55.400000000000006,53.0,35.0,21.0,76.0,92.0
27,Kiko Bondoso,Vizela,Primeira Liga,13,55.400000000000006,24.0,25.0,85.0,73.0,70.0
28,Rildo,Santa Clara,Primeira Liga,12,55.400000000000006,25.0,65.0,67.0,79.0,41.0
29,Joel Tagueu,Marítimo,Primeira Liga,11,57.0,42.0,75.0,83.0,77.0,8.0
30,Fran Navarro,Gil Vicente,Primeira Liga,10,60.0,58.0,77.0,17.0,69.0,79.0
31,David Neres,Benfica,Primeira Liga,9,60.60000000000001,88.0,28.0,40.0,58.0,89.0
32,Iuri Medeiros,Sporting Braga,Primeira Liga,8,62.0,44.0,64.0,18.0,85.0,99.0
33,Evanilson,FC Porto,Primeira Liga,7,67.00000000000001,78.0,94.0,66.0,95.0,2.0
34,Simon Banza,Sporting Braga,Primeira Liga,6,69.60000000000001,58.0,88.0,87.0,90.0,25.0
35,Marcus Edwards,Sporting CP,Primeira Liga,5,71.4,52.0,61.0,55.0,93.0,96.0
36,Mehdi Taremi,FC Porto,Primeira Liga,4,74.2,67.0,65.0,99.0,57.0,83.0
37,Vítor Oliveira,Sporting Braga,Primeira Liga,3,78.20000000000002,90.0,96.0,97.0,92.0,16.0
38,Welinton Júnior,Portimonense,Primeira Liga,2,79.2,86.0,97.0,84.0,88.0,41.0
39,Gonçalo Ramos,Benfica,Primeira Liga,1,93.4,100.0,100.0,78.0,99.0,90.0
