,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Emmanuel Gyasi,Spezia,Serie A,39,15.46,6.8,9.8,14.7,14.3,31.7
1,Isaac Success,Udinese,Serie A,38,18.4,24.5,13.4,3.7,15.0,35.4
2,Federico Di Francesco,Lecce,Serie A,37,19.8,11.2,9.4,16.9,12.1,49.4
3,Andrea Petagna,Monza,Serie A,36,20.680000000000003,54.4,13.5,26.3,7.9,1.3
4,David Okereke,Cremonese,Serie A,35,21.14,10.9,9.8,37.8,18.5,28.7
5,Junior Messias,Milan,Serie A,34,23.48,23.5,21.6,19.2,21.8,31.3
6,Duván Zapata,Atalanta,Serie A,33,23.96,18.0,27.4,11.8,34.8,27.8
7,M'Bala Nzola,Spezia,Serie A,32,25.42,32.8,24.8,24.2,19.9,25.4
8,Luca Zanimacchia,Cremonese,Serie A,31,26.32,20.5,25.8,12.8,33.4,39.1
9,Sam Lammers,Empoli,Serie A,30,26.32,25.9,41.2,17.1,38.1,9.3
10,Assan Ceesay,Lecce,Serie A,29,28.6,9.1,18.1,50.0,37.1,28.7
11,Andrea Pinamonti,Sassuolo,Serie A,28,32.019999999999996,49.0,31.6,16.9,39.2,23.4
12,Gabriel Strefezza,Lecce,Serie A,27,33.58,17.0,16.2,67.6,27.5,39.6
13,Kevin Lasagna,Verona,Serie A,26,35.76,24.8,48.8,22.7,43.9,38.6
14,Domenico Berardi,Sassuolo,Serie A,25,36.10000000000001,38.5,15.1,13.5,25.0,88.4
15,Francesco Caputo,Sampdoria,Serie A,24,36.32,75.6,26.9,46.9,13.1,19.1
16,Federico Bonazzoli,Salernitana,Serie A,23,37.34,49.0,47.7,17.5,33.4,39.1
17,Luka Jovic,Fiorentina,Serie A,22,39.64,46.9,21.2,72.8,10.4,46.9
18,Christian Kouamé,Fiorentina,Serie A,21,39.760000000000005,25.4,26.1,47.3,34.6,65.4
19,Cyriel Dessers,Cremonese,Serie A,20,40.86,48.6,49.2,30.0,41.1,35.4
20,Gianluca Caprari,Monza,Serie A,19,42.260000000000005,20.1,32.9,30.7,53.5,74.1
21,Riccardo Sottil,Fiorentina,Serie A,18,43.92,16.6,22.6,35.8,53.5,91.1
22,Thomas Henry,Verona,Serie A,17,45.9,64.5,45.4,69.8,24.8,25.0
23,Antonio Sanabria,Torino,Serie A,16,48.84,85.0,53.5,57.1,35.8,12.8
24,Martín Satriano,Empoli,Serie A,15,58.400000000000006,64.2,68.6,74.4,47.6,37.2
25,Dusan Vlahovic,Juventus,Serie A,14,61.42,52.4,67.4,85.1,53.3,48.9
26,Hirving Lozano,Napoli,Serie A,13,62.44,35.1,70.7,18.8,98.0,89.6
27,Marko Arnautovic,Bologna,Serie A,12,62.5,89.0,75.8,73.4,49.3,25.0
28,Ciro Immobile,Lazio,Serie A,11,67.56,84.7,72.5,86.5,43.7,50.4
29,Olivier Giroud,Milan,Serie A,10,67.78,93.7,85.7,86.0,46.1,27.4
30,Gerard Deulofeu,Udinese,Serie A,9,68.36,68.2,69.3,18.4,86.3,99.6
31,Victor Osimhen,Napoli,Serie A,8,69.12,100.0,99.9,33.9,91.0,20.8
32,Boulaye Dia,Salernitana,Serie A,7,72.42,45.6,66.2,92.0,76.2,82.1
33,Rafael Leão,Milan,Serie A,6,77.46000000000001,26.9,76.7,95.5,92.7,95.5
34,Tammy Abraham,Roma,Serie A,5,77.64,83.9,94.7,92.3,88.6,28.7
35,Lautaro Martínez,Internazionale,Serie A,4,78.18,90.4,88.4,86.1,70.6,55.4
36,Paulo Dybala,Roma,Serie A,3,87.42,53.6,90.9,98.3,99.3,95.0
37,Khvicha Kvaratskhelia,Napoli,Serie A,2,90.98,80.9,87.6,92.2,95.8,98.4
38,Edin Dzeko,Internazionale,Serie A,1,95.08,94.8,97.3,95.0,99.0,89.3
