,teamName,teamId,opponent,matchId,startDate,h_a,xG,xT,xGA,xTA,xGD,xTD
0,Aston Villa,24,Bournemouth,1640676,2022-08-06,a,0.7061367596779933,1.2440129659155106,0.49692109033117193,0.84285325800894,0.20921566934682134,0.40115970790657063
1,Aston Villa,24,Everton,1640685,2022-08-13,h,1.6561949271131584,1.2561072223660972,1.9383943787182283,1.177501175241442,-0.2821994516050699,0.07860604712465524
2,Aston Villa,24,Crystal Palace,1640695,2022-08-20,a,1.0306821946724494,0.975509554328156,3.086017406530695,1.2428647531892627,-2.0553352118582455,-0.2673551988611067
3,Aston Villa,24,West Ham,1640705,2022-08-28,h,0.47400345242698405,0.8483210192866806,0.28327955140586003,0.5817623633490923,0.19072390102112402,0.2665586559375883
4,Aston Villa,24,Arsenal,1640714,2022-08-31,a,0.33210982672663114,0.46423440976414826,2.9928007962675665,1.8102106008521046,-2.6606909695409353,-1.3459761910879564
5,Aston Villa,24,Man City,1640724,2022-09-03,h,0.30835054146192237,0.37788893872360324,1.6066960522909883,1.0028598129740391,-1.298345510829066,-0.6249708742504358
6,Aston Villa,24,Southampton,1640744,2022-09-16,h,0.84860539060278,1.0982827493387304,0.41818497567788115,0.4623000072970338,0.4304204149248988,0.6359827420416966
7,Aston Villa,24,Leeds,1640758,2022-10-02,a,1.8416449932142247,1.5787577649170188,0.30921282001459344,0.5516177193088954,1.5324321731996313,1.0271400456081234
8,Aston Villa,24,Nottingham Forest,1640772,2022-10-10,a,0.4977443260467561,1.197891773731366,0.3151886491632788,0.648699789787798,0.1825556768834773,0.5491919839435679
9,Aston Villa,24,Chelsea,1640774,2022-10-16,h,1.6760262981501874,1.6158343188892792,0.9920298443841266,0.5199912247203431,0.6839964537660609,1.095843094168936
10,Aston Villa,24,Fulham,1640788,2022-10-20,a,1.0415268591942808,0.9971731993696241,2.04605845849715,1.1959244289099524,-1.0045315993028692,-0.1987512295403283
11,Aston Villa,24,Brentford,1640794,2022-10-23,h,2.7200394532935697,0.8131543584640716,0.9149222990985847,0.9871320952189864,1.8051171541949849,-0.1739777367549148
12,Aston Villa,24,Newcastle,1640813,2022-10-29,a,0.6559934207168232,0.43502989699299827,3.1376478907068934,1.9274157421244498,-2.48165446999007,-1.4923858451314516
13,Aston Villa,24,Man Utd,1640814,2022-11-06,h,0.3704353443202716,0.2261834120389985,0.2562107823993333,1.004568262118635,0.11422456192093827,-0.7783848500796364
14,Aston Villa,24,Brighton,1640825,2022-11-13,a,1.3285450078072327,0.4940819241155417,0.7230936308391651,0.9520927657182778,0.6054513769680676,-0.45801084160273614
15,Aston Villa,24,Liverpool,1640835,2022-12-26,h,1.2443076525768413,1.563021243882513,1.4234371163447108,1.3488206389466635,-0.17912946376786953,0.21420060493584958
16,Aston Villa,24,Tottenham,1640851,2023-01-01,a,1.2400950856329194,0.600678288953788,0.5154657028322268,0.733672770584435,0.7246293828006926,-0.13299448163064698
17,Aston Villa,24,Wolves,1640855,2023-01-04,h,0.6878456615216867,0.6624752148212474,0.7686037405399722,0.7982866413257845,-0.08075807901828547,-0.13581142650453715
18,Aston Villa,24,Leeds,1640864,2023-01-13,h,0.864420729725979,0.4127347808972034,2.5611681211452444,1.4165800572899918,-1.6967473914192652,-1.0038452763927883
19,Aston Villa,24,Southampton,1640892,2023-01-21,a,1.5923409836826363,0.9560300795766109,0.7375435007262366,1.0039011554402224,0.8547974829563997,-0.0478710758636115
20,Aston Villa,24,Leicester,1640896,2023-02-04,h,1.8343363286901917,1.476626124560641,0.9149878913399334,0.7959135321510995,0.9193484373502583,0.6807125924095414
21,Aston Villa,24,Man City,1640930,2023-02-12,a,0.2678009064635739,0.21719432124227828,2.5997685472854073,1.1406810257346984,-2.3319676408218335,-0.9234867044924202
22,Aston Villa,24,Arsenal,1640936,2023-02-18,h,0.29289951545306764,0.4214826865213557,2.3600154001032987,1.6467688095707176,-2.067115884650231,-1.225286123049362
23,Aston Villa,24,Everton,1640960,2023-02-25,a,1.5743493363511276,0.676169511359505,2.2602043461142896,1.8875327011318292,-0.6858550097631619,-1.2113631897723243
24,Aston Villa,24,Crystal Palace,1640877,2023-03-04,h,1.0442013899868363,1.0197061940059045,0.2874463909455261,0.4844592542703664,0.7567549990413103,0.535246939735538
25,Aston Villa,24,West Ham,1640913,2023-03-12,a,1.851689061763612,1.2598416000906314,2.317479932768139,1.2247026637035217,-0.4657908710045269,0.03513893638710974
26,Aston Villa,24,Bournemouth,1640917,2023-03-18,h,2.4915744683663457,1.5380261881144346,0.7901378051664119,1.0083750009409784,1.7014366631999338,0.5296511871734562
27,Aston Villa,24,Chelsea,1640941,2023-04-01,a,0.25142996502482057,0.43309076389048223,2.0280248127860485,1.6207774367244707,-1.776594847761228,-1.1876866728339885
28,Aston Villa,24,Leicester,1640739,2023-04-04,a,0.7768066997321311,0.624371005667078,0.4246855618382454,0.4280156783062341,0.3521211378938857,0.19635532736084393
29,Aston Villa,24,Nottingham Forest,1640955,2023-04-08,h,1.2931889502736869,0.8879698931173503,0.3465230781182616,0.5347443518504462,0.9466658721554253,0.3532255412669041
30,Aston Villa,24,Newcastle,1640974,2023-04-15,h,2.099475572480168,1.194860011636809,0.5667320350563536,1.1474316304510201,1.5327435374238145,0.04742838118578896
31,Aston Villa,24,Brentford,1640992,2023-04-22,a,1.8948044328755649,1.0249980721014178,1.7811040099466633,0.9646472696770794,0.11370042292890159,0.060350802424338434
32,Aston Villa,24,Fulham,1641020,2023-04-25,h,1.0375953126883652,0.9987994681165692,0.19483658343550478,0.4318420915639055,0.8427587292528604,0.5669573765526636
33,Aston Villa,24,Man Utd,1641033,2023-04-30,a,0.5004985696771431,0.6661720764254865,0.7819872956389279,0.9375989001253646,-0.28148872596178476,-0.27142682369987814
34,Aston Villa,24,Wolves,1641044,2023-05-06,a,1.6433880056455066,1.0439785797989956,0.38204829699701726,0.3247786791887454,1.2613397086484892,0.7191999006102501
35,Aston Villa,24,Tottenham,1641046,2023-05-13,h,1.1743748016673454,1.3204618781194477,1.0548694481257972,0.46426793607000383,0.11950535354154823,0.8561939420494439
36,Aston Villa,24,Liverpool,1640989,2023-05-20,a,1.1352375376168449,0.4773295036603497,0.8848239004157183,1.609936098985494,0.2504136372011265,-1.1326065953251443
37,Aston Villa,24,Brighton,1641005,2023-05-28,h,1.714250001351937,1.2647108164023546,0.7521347728929605,0.7581450935372157,0.9621152284589766,0.5065657228651389
